Kunduz, 3900, KDZ, 1, AF, 36.72895000, 68.85700000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q108155
Kushk, 3887, HER, 1, AF, 33.29565000, 61.95221000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q21751918
Lab-Sar, 3884, BAL, 1, AF, 36.02634000, 66.83799000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q21813067
Larkird, 3885, SAR, 1, AF, 35.48936000, 66.66409000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q21752020
Lashkar Gah, 3873, HEL, 1, AF, 31.59382000, 64.37161000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q476800
Markaz-e Woluswali-ye Achin, 3882, NAN, 1, AF, 34.12583000, 70.70778000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q476800
Markaz-e ?ukumat-e Darweshan, 3873, HEL, 1, AF, 31.13231000, 64.19340000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21758384
Maymana, 3889, FYB, 1, AF, 35.92139000, 64.78361000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q309345
Mazar-e Sharif, 3884, BAL, 1, AF, 36.70904000, 67.11087000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q130469
Mehtar Lam, 3891, LAG, 1, AF, 34.67139000, 70.20944000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q1982155
Mir Bachah Ko?, 3902, KAB, 1, AF, 34.74999000, 69.11899000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q6872026
Mirabad, 3896, NIM, 1, AF, 30.43624000, 61.83830000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21751462
Nahrin, 3875, BGL, 1, AF, 36.06490000, 69.13343000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q6959392
Nili, 3892, DAY, 1, AF, 33.76329000, 66.07617000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q3218967
Paghman, 3902, KAB, 1, AF, 34.58787000, 68.95091000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q2502256
Panjab, 3872, BAM, 1, AF, 34.38795000, 67.02327000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q7131225
Pul-e Khumri, 3875, BGL, 1, AF, 35.94458000, 68.71512000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q477148
Pul-e ‘Alam, 3897, LOG, 1, AF, 33.99529000, 69.02274000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q1006289
Parun, 3880, NUR, 1, AF, 35.42064000, 70.92261000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q1023669
Qala i Naw, 3871, BDG, 1, AF, 34.98735000, 63.12891000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q26396
Qalat, 3874, ZAB, 1, AF, 32.10575000, 66.90833000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q527318
Qal‘ah-ye Shahr, 3885, SAR, 1, AF, 35.54729000, 65.56760000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21750144
Qarah Bagh, 3887, HER, 1, AF, 34.94023000, 61.77589000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21750144
Qarchi Gak, 3884, BAL, 1, AF, 37.03999000, 66.78891000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q3290339
Qarqin, 3886, JOW, 1, AF, 37.41853000, 66.04358000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q5199398
Qarawul, 3900, KDZ, 1, AF, 37.21959000, 68.78020000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21748632
Raghistan, 3901, BDS, 1, AF, 37.66079000, 70.67346000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q2670909
Rudbar, 3896, NIM, 1, AF, 30.15000000, 62.60000000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21748160
Sang-e Charak, 3885, SAR, 1, AF, 35.84972000, 66.43694000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21748160
Sangin, 3873, HEL, 1, AF, 32.07275000, 64.83590000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q2457742
Sar-e Pul, 3885, SAR, 1, AF, 36.21544000, 65.93249000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q1649301
Sa?obi, 3877, PKA, 1, AF, 32.75221000, 69.04587000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q6596821
Shahrak, 3888, GHO, 1, AF, 34.10737000, 64.30520000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q7461922
Shibirghan, 3886, JOW, 1, AF, 36.66757000, 65.75290000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q838954
Shin?an?, 3887, HER, 1, AF, 33.30294000, 62.14740000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q3944388
Sidqabad, 3879, KAP, 1, AF, 35.02298000, 69.35112000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q600514
Tagaw-Bay, 3885, SAR, 1, AF, 35.69941000, 66.06164000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21742929
Taloqan, 3893, TAK, 1, AF, 36.73605000, 69.53451000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q477238
Tarinkot, 3898, URU, 1, AF, 32.62998000, 65.87806000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q989293
Tukzar, 3885, SAR, 1, AF, 35.94831000, 66.42132000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q7851883
Tir Pul, 3887, HER, 1, AF, 34.59431000, 61.26895000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21740029
Uruzgan, 3898, URU, 1, AF, 32.92775000, 66.63253000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21750884
Wakhan, 3901, BDS, 1, AF, 37.05710000, 73.34928000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q2509959
Zaranj, 3896, NIM, 1, AF, 30.95962000, 61.86037000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q475802
Zarghun Shahr, 3877, PKA, 1, AF, 32.84734000, 68.44573000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21737614
Za?ah Sharan, 3877, PKA, 1, AF, 33.14641000, 68.79213000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q2615863
Zindah Jan, 3887, HER, 1, AF, 34.34264000, 61.74675000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q5918492
Aqchah, 3886, JOW, 1, AF, 36.90500000, 66.18341000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q2246526
Art Khwajah, 3893, TAK, 1, AF, 37.08571000, 69.47958000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21765117
Asmar, 3876, KNR, 1, AF, 35.03333000, 71.35809000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21765090
?ukumati Azrah, 3897, LOG, 1, AF, 34.17355000, 69.64573000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q21765090
?ukumati Dahanah-ye Ghori, 3875, BGL, 1, AF, 35.90617000, 68.48869000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q5194960
‘Alaqahdari Dishu, 3873, HEL, 1, AF, 30.43206000, 63.29802000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q5194960
All Saints, 3704, 07, 10, AG, 17.06671000, -61.79303000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q1771715
Bolands, 3707, 05, 10, AG, 17.06565000, -61.87466000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q1771701
Codrington, 3708, 10, 10, AG, 17.63333000, -61.83333000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q1024679
Falmouth, 3705, 06, 10, AG, 17.02741000, -61.78136000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q3299460
Liberta, 3705, 06, 10, AG, 17.04141000, -61.79052000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q1771710
Parham, 3704, 07, 10, AG, 17.09682000, -61.77046000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q376195
Piggotts, 3709, 03, 10, AG, 17.11667000, -61.80000000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q1771704
Potters Village, 3706, 04, 10, AG, 17.11337000, -61.81962000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q1771587
Saint John’s, 3706, 04, 10, AG, 17.12096000, -61.84329000, 2019-10-05 23:58:07, 2020-05-01 18:52:33, 1, Q36262
Bajram Curri, 623, KU, 3, AL, 42.35734000, 20.07679000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q18705
Ballsh, 631, 04, 3, AL, 40.59889000, 19.73472000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q743016
Banaj, 629, BR, 3, AL, 40.82492000, 19.84074000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q3301181
Bashkia Berat, 629, BR, 3, AL, 40.69997000, 19.94983000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q3301181
Bashkia Bulqizë, 610, 09, 3, AL, 41.47152000, 20.33192000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q3301181
Bashkia Devoll, 630, 06, 3, AL, 40.60078000, 20.93814000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q3301181
Bashkia Divjakë, 631, 04, 3, AL, 40.95716000, 19.52364000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Dropull, 621, GJ, 3, AL, 39.98584000, 20.30529000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q16350064
Bashkia Durrës, 639, DR, 3, AL, 41.42743000, 19.48690000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Fier, 631, 04, 3, AL, 40.72937000, 19.48690000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q16350064
Bashkia Finiq, 634, 12, 3, AL, 39.84393000, 20.16659000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q16350064
Bashkia Himarë, 634, 12, 3, AL, 40.11581000, 19.81389000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Kavajë, 633, TR, 3, AL, 41.18127000, 19.55579000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Kelcyrë, 621, GJ, 3, AL, 40.36196000, 20.16476000, 2019-10-05 23:58:07, 2020-06-14 16:53:41, 1, Q16350064
Bashkia Klos, 610, 09, 3, AL, 41.50826000, 20.07107000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q16350064
Bashkia Kolonjë, 630, 06, 3, AL, 40.31420000, 20.61482000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Konispol, 634, 12, 3, AL, 39.70064000, 20.13353000, 2019-10-05 23:58:07, 2019-10-05 23:58:07, 1, Q16350064
Bashkia Krujë, 639, DR, 3, AL, 41.50091000, 19.72571000, 2019-10-05 23:58:07, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Kurbin, 609, 08, 3, AL, 41.62215000, 19.70734000, 2019-10-05 23:58:08, 2019-10-05 23:58:08, 1, Q16350064
Bashkia Kuçovë, 629, BR, 3, AL, 40.82489000, 19.95350000, 2019-10-05 23:58:08, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Lezhë, 609, 08, 3, AL, 41.81320000, 19.64121000, 2019-10-05 23:58:08, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Libohovë, 621, GJ, 3, AL, 40.10754000, 20.25753000, 2019-10-05 23:58:08, 2020-06-14 16:53:39, 1, Q16350064
Bashkia Maliq, 630, 06, 3, AL, 40.75508000, 20.60748000, 2019-10-05 23:58:08, 2019-10-05 23:58:08, 1, Q16350064
Bashkia Mallakastër, 631, 04, 3, AL, 40.55669000, 19.77347000, 2019-10-05 23:58:08, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Malësi e Madhe, 626, SH, 3, AL, 42.36798000, 19.58977000, 2019-10-05 23:58:08, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Mat, 610, 09, 3, AL, 41.63317000, 20.01228000, 2019-10-05 23:58:08, 2019-10-05 23:58:08, 1, Q16350064
Bashkia Memaliaj, 621, GJ, 3, AL, 40.41524000, 19.96911000, 2019-10-05 23:58:08, 2019-10-05 23:58:08, 1, Q16350064
Bashkia Mirditë, 609, 08, 3, AL, 41.80953000, 19.99024000, 2019-10-05 23:58:08, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Patos, 631, 04, 3, AL, 40.67793000, 19.65591000, 2019-10-05 23:58:08, 2019-10-05 23:58:08, 1, Q16350064
Bashkia Poliçan, 629, BR, 3, AL, 40.58608000, 20.04535000, 2019-10-05 23:58:08, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Pukë, 626, SH, 3, AL, 42.02997000, 19.92778000, 2019-10-05 23:58:08, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Pustec, 630, 06, 3, AL, 40.83591000, 20.89405000, 2019-10-05 23:58:08, 2019-10-05 23:58:08, 1, Q16350064
Bashkia Përmet, 621, GJ, 3, AL, 40.23246000, 20.41091000, 2019-10-05 23:58:08, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Selenicë, 634, 12, 3, AL, 40.39503000, 19.65958000, 2019-10-05 23:58:08, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Shijak, 639, DR, 3, AL, 41.33558000, 19.58977000, 2019-10-05 23:58:08, 2019-10-05 23:58:08, 1, Q16350064
Bashkia Skrapar, 629, BR, 3, AL, 40.56036000, 20.25477000, 2019-10-05 23:58:08, 2019-10-05 23:58:08, 1, Q16350064
Bashkia Tepelenë, 621, GJ, 3, AL, 40.26736000, 19.97003000, 2019-10-05 23:58:08, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Vau i Dejës, 626, SH, 3, AL, 42.04834000, 19.69999000, 2019-10-05 23:58:08, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Vlorë, 634, 12, 3, AL, 40.41340000, 19.49792000, 2019-10-05 23:58:08, 2020-05-01 18:52:32, 1, Q16350064
Bashkia Vorë, 633, TR, 3, AL, 41.39804000, 19.67703000, 2019-10-05 23:58:08, 2020-05-01 18:52:32, 1, Q16350064
Berat, 629, BR, 3, AL, 40.70583000, 19.95222000, 2019-10-05 23:58:08, 2019-10-05 23:58:08, 1, Q170244
Bilisht, 630, 06, 3, AL, 40.62750000, 20.99000000, 2019-10-05 23:58:08, 2019-10-05 23:58:08, 1, Q817140
Bulqizë, 610, 09, 3, AL, 41.49167000, 20.22194000, 2019-10-05 23:58:08, 2020-05-01 18:52:32, 1, Q463384
Burrel, 610, 09, 3, AL, 41.61028000, 20.00889000, 2019-10-05 23:58:08, 2019-10-05 23:58:08, 1, Q461313
